subscriber;message_body;timestamp 
9;You gonna be around this afternoon so I can drop off my computer?;06/01/11 10:22 
9;Yeah, susie was here earlier too;06/01/11 11:13 
9; She's a loser. She's ignoring me today so I don't come next door and bug her. She probably has to get to the beach by noon...  I'll be down around 3...I hope.;06/01/11 11:16 
9;Lol k;06/01/11 11:56 
9;I'm on my way down there.;06/01/11 15:14 
9;Bob, got Win7 installled. It's all good. My kid has a portable 500GB HDD so I'll be by Fri morn to copy the files. Thanks for your help!;06/01/11 22:00 
9;Cool no prob;06/01/11 22:06 
9;Be sure to install antivirus. I recommend software, which is free;06/01/11 22:07 
9;What about AVG?;06/01/11 22:37 
9;Thats good too;06/01/11 22:38 
4;Hey! Are you doin the 4th this year?;07/01/11 08:19 
4;Of course;07/01/11 09:58 
4;Sweet! Can I party with you huts this year?;07/01/11 10:50 
4;Guys*;07/01/11 10:51 
4;Yeah it is an open invite on fb;07/01/11 10:54 
4;Lol nice! Is it at yours or.your moms?;07/01/11 10:57 
4;Moms;07/01/11 10:58 
4;Word;07/01/11 11:06 
4;My bro made invite. I plan on leaving fb if google+ takes off;07/01/11 11:12 
4;Lol ok well I'll plan on comin down there then, what is your.work plan for next Friday?;07/01/11 11:14 
4;Taking day off;07/01/11 11:30 
4;Ok cool, not sure when we are leaving yet, but I will let you know;07/01/11 11:52 
4;K;07/01/11 12:08 
3;Hey bob, if your not busy come join me up at the lounge, there's a cigar event going on today;07/01/11 15:06 
36;Have easy call me on my cell. Asap - blow arrived;08/01/11 19:10 
36;Sara needs to call.me.;08/01/11 19:15 
4;go snort a line;09/01/11 09:28 
20;Hey Bob. Traffic was agreeable so I made it early. Are you available or should I wait to come in?;09/01/11 17:04 
20;I'm here, let me know when ur;09/01/11 17:04 
20;I'm parked outside hehe. Which Suite is it?;09/01/11 17:05 
20;pure bliss with my shrooms;09/01/11 17:05 
13;To a beautiful ladie remmind me of ladie daine;09/01/11 18:01 
8;You got a minute.what is the app for iphone like google sky;09/01/11 19:51 
8;Skyview;09/01/11 19:52 
8;Thanks;09/01/11 19:52 
8;np;09/01/11 19:58 
26;Texting because I don't want to wake u up if ur still in bed. We still on for today? If so, what time?;10/01/11 08:07 
26;Im up we plan on leaving here at 1:30, should be sunny and 57 up there;10/01/11 08:11 
26;Awesome;10/01/11 08:11 
26; Ready for beer, looks like 6 guys for sure, maybe 8;10/01/11 08:13 
26;Kewl;10/01/11 08:13 
26;Come over any time;10/01/11 13:14 
26;K locking up;10/01/11 13:14 
26;Okay;10/01/11 13:15 
63;Gateway is down;10/01/11 13:37 
63;Great. I am in wisconsin;10/01/11 14:11 
26;This line sucks lol;10/01/11 16:48 
43;Ok;11/01/11 12:59 
43;Amanda and Michael will be to the house by 3:30 pm today. Michael has to wait for the school bus to get timmy and it arrives about 3:05pm.;11/01/11 12:59 
36;Address is 123 main st, mycity, IL;11/01/11 13:35 
36;Ok thank you;11/01/11 13:36 
2;Yeah! Fo like 2 wks now;12/01/11 10:31 
4;hey markie  bring some reefer when you come by later;12/01/11 10:31 
4;no really, plus mike is bringing some dro;12/01/11 10:31 
